nombre,descripcion,precio,categoria,sku,tags
Tabla cocina roble 40x30 cm,Tabla de cocina roble nacional aceite alimentario espesor 2 cm,45000,Tablas personalizadas,TWD-TAB-ROB-4030,tabla;cocina;roble
Tabla cocina roble 50x35 cm,Tabla de cocina roble nacional aceite alimentario espesor 2 cm,58000,Tablas personalizadas,TWD-TAB-ROB-5035,tabla;cocina;roble
Tabla parrilla lingue 45x30 cm,Tabla parrilla lingue espesor 3 cm aceite alto calor,52000,Tablas personalizadas,TWD-TAB-LIN-4530,tabla;parrilla;lingue
Tabla servir rauli 35x25 cm,Tabla de servir rauli con cera de carnauba,38000,Tablas personalizadas,TWD-TAB-RAU-3525,tabla;servir;raulí
Tabla servir rauli 45x30 cm,Tabla de servir rauli con cera de carnauba,48000,Tablas personalizadas,TWD-TAB-RAU-4530,tabla;servir;raulí
Escritorio nogal 120x60 cm,Escritorio nogal importado barniz satinado espesor 3 cm,185000,Muebles a medida,TWD-ESC-NOG-12060,escritorio;nogal
Repisa flotante roble 80 cm,Repisa flotante roble nacional 80x25 cm espesor 4 cm,42000,Repisas,TWD-REP-ROB-80,repisa;roble
Repisa flotante roble 120 cm,Repisa flotante roble nacional 120x25 cm espesor 4 cm,62000,Repisas,TWD-REP-ROB-120,repisa;roble
Kit mantención tablas,Aceite mineral alimentario 250 ml + lija fina + instrucciones,12000,Accesorios,TWD-ACC-MANT-1,mantención;aceite
Grabado láser logo,Grabado láser de logo o texto en tabla hasta 8x8 cm,8000,Servicios,TWD-SRV-GRAB-1,grabado;personalizado
