nombre,descripcion,precio,categoria,sku,tags
"LIQUI MOLY Molygen New Generation 5W-30 1 L","Aceite de motor SAE 5W-30. Bidón plástico 1 L. Ref. fabricante 9047. Precio por bidón, IVA incluido. Confirmar especificación del motor en el manual.",14990,Aceites,ECP-ACE-001,aceite;5w-30;1l;liqui moly;molygen;9047;motor
"LIQUI MOLY Molygen New Generation 5W-30 4 L","Aceite de motor SAE 5W-30. Bidón plástico 4 L. Ref. fabricante 9089. Precio por bidón, IVA incluido. Confirmar especificación del motor en el manual.",51990,Aceites,ECP-ACE-002,aceite;5w-30;4l;liqui moly;molygen;9089;motor
"LIQUI MOLY Molygen New Generation 5W-40 1 L","Aceite de motor SAE 5W-40. Bidón plástico 1 L. Ref. fabricante 8576. Precio por bidón, IVA incluido. Confirmar especificación del motor en el manual.",14990,Aceites,ECP-ACE-003,aceite;5w-40;1l;liqui moly;molygen;8576;motor
"LIQUI MOLY Molygen New Generation 5W-40 4 L","Aceite de motor SAE 5W-40. Bidón plástico 4 L. Ref. fabricante 8578. Precio por bidón, IVA incluido. Confirmar especificación del motor en el manual.",53990,Aceites,ECP-ACE-004,aceite;5w-40;4l;liqui moly;molygen;8578;motor
"LIQUI MOLY Molygen New Generation 10W-40 1 L","Aceite de motor SAE 10W-40. Bidón plástico 1 L. Ref. fabricante 9955. Precio por bidón, IVA incluido. Confirmar especificación del motor en el manual.",11990,Aceites,ECP-ACE-005,aceite;10w-40;1l;liqui moly;molygen;9955;motor
"LIQUI MOLY Molygen New Generation 10W-40 4 L","Aceite de motor SAE 10W-40. Bidón plástico 4 L. Ref. fabricante 8538. Precio por bidón, IVA incluido. Confirmar especificación del motor en el manual.",41990,Aceites,ECP-ACE-006,aceite;10w-40;4l;liqui moly;molygen;8538;motor
"MANN-FILTER Filtro de aceite W 68/3","Filtro de aceite. Rosca 3/4-16 UNF. Diám. exterior 66 mm, alto 75 mm. Ref. W 68/3. Precio por unidad, IVA incluido. Confirmar código OEM y aplicación.",6990,Filtros,ECP-FIL-001,filtro;aceite;mann;w68/3;w 68/3
"MANN-FILTER Filtro de aceite W 610/3","Filtro de aceite. Rosca M20 x 1,5. Diám. exterior 66 mm, alto 90 mm. Ref. W 610/3. Precio por unidad, IVA incluido. Confirmar código OEM y aplicación.",7990,Filtros,ECP-FIL-002,filtro;aceite;mann;w610/3;w 610/3
"MANN-FILTER Filtro de aceite W 811/80","Filtro de aceite. Rosca M20 x 1,5. Diám. exterior 80 mm, alto 75 mm. Ref. W 811/80. Precio por unidad, IVA incluido. Confirmar código OEM y aplicación.",6990,Filtros,ECP-FIL-003,filtro;aceite;mann;w811/80;w 811/80
"MANN-FILTER Filtro de aceite W 712/95","Filtro de aceite. Rosca 3/4-16 UNF-1B. Diám. exterior 76 mm, alto 79 mm. Ref. W 712/95. Precio por unidad, IVA incluido. Confirmar código OEM y aplicación.",10990,Filtros,ECP-FIL-004,filtro;aceite;mann;w712/95;w 712/95
"MANN-FILTER Filtro de aire motor C 14 130","Filtro de aire de motor, formato cilíndrico. Diám. exterior 136 mm, alto 221 mm. Ref. C 14 130. Precio por unidad, IVA incluido. Confirmar aplicación.",16990,Filtros,ECP-FIL-005,filtro;aire;motor;mann;c14130;cilindrico
"MANN-FILTER Filtro de aire motor C 27 009","Filtro de aire de motor, formato panel. 269 x 191 x 24 mm. Ref. C 27 009. Precio por unidad, IVA incluido. Confirmar aplicación.",14990,Filtros,ECP-FIL-006,filtro;aire;motor;mann;c27009;panel
"MANN-FILTER Filtro de cabina CU 1828","Filtro de cabina partículas / polen. 219 x 200 x 18 mm. Ref. CU 1828. Precio por unidad, IVA incluido.",11990,Filtros,ECP-FIL-007,filtro;cabina;polen;mann;cu1828
"MANN-FILTER Filtro de cabina CU 1919","Filtro de cabina partículas / polen. 193 x 213 x 30 mm. Ref. CU 1919. Precio por unidad, IVA incluido.",12990,Filtros,ECP-FIL-008,filtro;cabina;polen;mann;cu1919
